date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:56	471/471	---M--	200	added ('OK')	text/plain	etag:W/%2263515c09-1d7%22	https://www.powermag.com/robots.txt		(from )
19:01:56	124293/124293	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2013:31:56%20GMT	https://www.powermag.com/	C:/My%20Web%20Sites/thriteen/www.powermag.com/index.html	(from )
19:01:57	10429/10429	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2013:31:57%20GMT	https://use.typekit.net/iub3fmd.css	C:/My%20Web%20Sites/thriteen/use.typekit.net/iub3fmd.css	(from https://www.powermag.com/)
19:01:58	170/170	---M-Z	200	added ('OK')	text/css	etag:W/%2263560cb5-aa%22	https://www.powermag.com/wp-content/themes/power-2020/style.css?v=1666684003	C:/My%20Web%20Sites/thriteen/www.powermag.com/wp-content/themes/power-2020/style3591.css	(from https://www.powermag.com/)
19:01:58	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1c1f%22	http://code.jquery.com/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/thriteen/code.jquery.com/jquery-migrate-1.2.1.min.js	(from https://www.powermag.com/)
19:01:59	5184/5184	---M--	200	added ('OK')	image/png	etag:%2263506d13-1440%22	https://www.powermag.com/wp-content/themes/power-2020/assets/img/favicon.png	C:/My%20Web%20Sites/thriteen/www.powermag.com/wp-content/themes/power-2020/assets/img/favicon.png	(from https://www.powermag.com/)
19:01:59	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2013:31:59%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/thriteen/www.google.com/recaptcha/api.js	(from https://www.powermag.com/)
19:01:59	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-1787d%22	http://code.jquery.com/jquery-1.11.0.min.js	C:/My%20Web%20Sites/thriteen/code.jquery.com/jquery-1.11.0.min.js	(from https://www.powermag.com/)
19:02:01	80397/80397	---M--	200	added ('OK')	text/javascript	etag:%221374%20/%20105%20of%201000%20/%20last-modified:%201666782532%22	https://www.googletagservices.com/tag/js/gpt.js	C:/My%20Web%20Sites/thriteen/www.googletagservices.com/tag/js/gpt.js	(from https://www.powermag.com/)
19:02:02	475/475	---M--	200	added ('OK')	text/javascript	etag:%221db-5ae09e6577862%22	https://site-tracking.com/gpt_wrapper.min.js	C:/My%20Web%20Sites/thriteen/site-tracking.com/gpt_wrapper.min.js	(from https://www.powermag.com/)
